0xf56143d0 0xf56143d0 0xc10f0572 0xc10f03da 0x5236 0x5231 4 4 0 4 5 16
0xef3d47c8 0xef3d47c8 0xc125a515 0xc125a894 0x21b0a4b4 0x1eb5792c 4 4 0 3 3 16
0xef3d47d4 0xef3d47d4 0xc125a4fe 0xc125a913 0x21b0a4b4 0x1eb5792c 4 4 0 3 3 16
0xf56149f0 0xf56149f0 0xc1957c56 0xc1957c56 0xf486139c 0x0 4 4 0 2 5 80
0xf56149f0 0xf56149f0 0xc1957c56 0xc1957c50 0xf486139c 0x0 4 4 0 2 5 80
0xf4861388 0xf4861388 0xc10eb2d5 0xc10e82b6 0x200 0x1 4 4 0 2 2 300
0xf07d3e8c 0xf07d3e8c 0xc1103f5e 0xc195f185 0xf07d3e88 0xef447f98 4 4 0 5 5 400
0xf07d3e8c 0xf07d3e8c 0xc1103f5e 0xc1103f53 0xf07d3e88 0xef447f98 4 4 0 3 3 400
0xf48618c0 0xf48618c0 0xc2892899 0xc2892899 0x1 0x0 4 4 0 2 5 400
0xef447f9c 0xef447f9c 0xc1103f56 0xc195f19e 0xef447f98 0xf07d3e88 4 4 0 2 3 400
0xf07d3e88 0xf07d3e88 0xc1103f5b 0xc195f181 0xf07d3e88 0xef447f98 4 4 0 2 4 400
0xf07d3e88 0xf07d3e88 0xc1103f5b 0xc1103f50 0xf07d3e88 0xef447f98 4 4 0 5 3 400
0xf07d3e88 0xf07d3e88 0xc1103f5b 0xc1103967 0xf07d3e88 0xef447f98 4 4 0 3 3 400
0xef447f80 0xef447f80 0xc288f53e 0xc288f53e 0xef4f5600 0x0 4 4 0 2 5 400
0xef447f80 0xef447f80 0xc288f721 0xc288f721 0x0 0xef588a00 4 4 0 2 4 400
0xef447f80 0xef447f80 0xc288f53e 0xc288f721 0xef4f5600 0xef588a00 4 4 0 3 3 400
0xf4861388 0xf4861388 0xc10eb2d5 0xc10eb28e 0x200 0x1 4 4 0 3 5 400
0xf4861388 0xf4861388 0xc10eb2d5 0xc10eb2c1 0x200 0x1 4 4 0 5 4 400
0xef447f94 0xef447f94 0xc2892899 0xc2892899 0x1 0x0 4 4 0 3 4 400
0xef447fc4 0xef447fc4 0xc12489ec 0xc1248983 0x0 0xf58a5b88 4 4 0 2 3 400
0xef447fa0 0xef447fa0 0xc12489f3 0xc124894a 0x1 0x0 4 4 0 2 3 400
0xef447fa0 0xef447fa0 0xc12489f3 0xc1248a18 0x1 0x0 4 4 0 4 3 400
0xef447f98 0xef447f98 0xc1103f59 0xc1103951 0xef447f98 0xf07d3e88 4 4 0 5 4 400
0xef447f98 0xef447f98 0xc1103f59 0xc195f198 0xef447f98 0xf07d3e88 4 4 0 3 4 400
0xc34a6808 0xc34a6808 0xc2892899 0xc2892899 0x1 0x0 4 4 0 5 2 1600
